readlabel	chrom	strand	startcoord	status	haplotype
9536605b51ee4ea9	chrEXPLORE	+	1313614,1313916,1313926,1314109,1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219	1,0,0,1,0,0,0,1,0,0,0,1	H2
32a9831f7ca24a2d	chrEXPLORE	+	1313916,1313926,1314109,1314346	1,0,0,1	noH
b6340a1e26034381	chrEXPLORE	+	1312645,1312925,1313614,1313916,1313926,1314109,1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219,1315577,1316107,1316304,1316404,1316462	1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1	H2
c7749864d4974414	chrEXPLORE	+	1312645,1312925,1313614,1313916,1313926,1314109,1314346,1314695,1314706	0,0,0,0,0,0,0,0,0	H2
dec7c23070244854	chrEXPLORE	+	1313614,1313916,1313926,1314109,1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219,1315577,1316107,1316304,1316404,1316462,1317266	1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1	noH
b9bc744c64254b05	chrEXPLORE	+	1314346,1314695,1314706,1314836	0,0,1,0	noH
59084e4363d14ac9	chrEXPLORE	+	1313916,1313926,1314109,1314346,1314695,1314706,1314836,1314989	1,0,0,0,1,0,0,0	noH
6aca89193db749c4	chrEXPLORE	+	1312925,1313614,1313916,1313926,1314109,1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219,1315577,1316107,1316304,1316404,1316462,1317266	1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1	noH
eb4baadf45b7471b	chrEXPLORE	+	1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219,1315577,1316107,1316304,1316404,1316462,1317266	0,1,0,1,0,0,1,1,1,0,0,0,0,1	H1
9fb196426aba4f01	chrEXPLORE	+	1312645,1312925,1313614,1313916,1313926,1314109,1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219,1315577	1,0,0,0,1,0,0,0,1,1,0,1,0,0,0	H2
40824d6af8b645f5	chrEXPLORE	+	1312645,1312925,1313614,1313916,1313926,1314109,1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219,1315577,1316107,1316304,1316404,1316462,1317266	0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0	noH
142998647d7c4e2e	chrEXPLORE	+	1314706,1314836,1314989,1315026,1315103,1315219,1315577,1316107,1316304,1316404	1,1,0,1,0,0,1,0,0,0	H2
7766c54889ce4399	chrEXPLORE	+	1314695,1314706,1314836,1314989,1315026,1315103	0,0,0,0,1,0	H2
bd220e9d573f405f	chrEXPLORE	+	1316107,1316304,1316404	0,1,1	H1
61dd745603994bfc	chrEXPLORE	+	1313916,1313926,1314109,1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219,1315577,1316107	0,1,1,1,1,1,1,1,0,1,1,1,0	noH
81765feae32a400a	chrEXPLORE	+	1312925,1313614,1313916,1313926,1314109,1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219,1315577,1316107,1316304,1316404,1316462,1317266	0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0	noH
131a000e32514a4f	chrEXPLORE	+	1313926,1314109,1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219,1315577,1316107,1316304,1316404,1316462,1317266	1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1	H1
48656bd06bf64d7c	chrEXPLORE	+	1314989,1315026,1315103,1315219,1315577,1316107,1316304,1316404	1,0,1,1,1,1,1,1	H1
797da04ffe084743	chrEXPLORE	+	1313916,1313926,1314109,1314346,1314695,1314706,1314836	1,1,1,1,1,1,0	noH
e085b34a38764b8c	chrEXPLORE	+	1313926,1314109,1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219,1315577,1316107,1316304	1,0,0,1,1,1,0,1,1,1,0,1,1	H2
f41b65d31d244046	chrEXPLORE	+	1312645,1312925,1313614,1313916,1313926,1314109,1314346,1314695,1314706,1314836	0,0,1,0,0,0,1,0,0,0	noH
d4c188ad51e244f3	chrEXPLORE	+	1312645,1312925,1313614,1313916,1313926,1314109,1314346,1314695,1314706,1314836	0,0,0,1,0,0,0,1,1,1	H2
2c4c86d609954d02	chrEXPLORE	+	1314346,1314695,1314706	0,1,1	H1
701be2bf14fc408c	chrEXPLORE	+	1313614,1313916,1313926,1314109,1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219,1315577,1316107,1316304	0,1,1,1,1,0,1,1,0,1,0,0,1,1,1	noH
94eb38bdcc914a9a	chrEXPLORE	+	1312925,1313614,1313916,1313926,1314109,1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219,1315577,1316107,1316304,1316404,1316462	0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1	H2
262e813942fa4488	chrEXPLORE	+	1314836,1314989,1315026,1315103,1315219,1315577,1316107,1316304,1316404	0,0,0,0,0,0,1,0,0	noH
15d8f2e017104f04	chrEXPLORE	+	1313916,1313926,1314109,1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219,1315577,1316107,1316304,1316404,1316462	0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1	H2
0be8e92024004797	chrEXPLORE	+	1313614,1313916,1313926,1314109,1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219,1315577,1316107,1316304,1316404,1316462,1317266	1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1	H1
12eb8c3d3aa14dc0	chrEXPLORE	+	1312645,1312925,1313614,1313916,1313926,1314109,1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219,1315577,1316107,1316304,1316404,1316462,1317266	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	noH
a5aa6df7a4744627	chrEXPLORE	+	1312925,1313614,1313916,1313926,1314109,1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219,1315577,1316107,1316304,1316404	0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0	H2
a25ab62e09c9408e	chrEXPLORE	+	1314989,1315026,1315103	0,0,0	H2
d166cfaa444b446a	chrEXPLORE	+	1314695,1314706,1314836,1314989,1315026,1315103,1315219,1315577,1316107	0,0,1,1,0,0,0,0,0	noH
a9220e4293c14bd4	chrEXPLORE	+	1313926,1314109,1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219,1315577,1316107,1316304,1316404,1316462	0,0,0,0,0,0,0,0,0,0,0,1,0,0,0	noH
a3039fc361d74e13	chrEXPLORE	+	1313614,1313916,1313926,1314109	0,1,0,0	H2
803819a7767b4e62	chrEXPLORE	+	1313614,1313916,1313926,1314109,1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219,1315577,1316107,1316304,1316404,1316462	1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1	noH
33dadd2f342947a5	chrEXPLORE	+	1314346,1314695,1314706,1314836,1314989,1315026,1315103	1,1,0,1,1,0,0	H2
e5de29c2bcb043b0	chrEXPLORE	+	1313614,1313916,1313926,1314109,1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219,1315577,1316107	0,0,0,0,0,0,0,0,0,0,0,0,0,0	noH
cce05e59297e4db2	chrEXPLORE	+	1312645,1312925,1313614,1313916,1313926,1314109,1314346,1314695,1314706	1,1,0,0,0,0,0,0,0	noH
da60b29cbf604c55	chrEXPLORE	+	1313926,1314109,1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219,1315577,1316107,1316304	1,0,0,0,0,0,0,1,0,0,1,0,0	noH
d00791376baf42bd	chrEXPLORE	+	1313614,1313916,1313926,1314109,1314346,1314695	1,0,1,1,1,1	noH
01eaaeac2a2b4183	chrEXPLORE	+	1313916,1313926,1314109,1314346,1314695	1,0,1,0,1	noH
a3bd29d6c17246e3	chrEXPLORE	+	1314109,1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219,1315577,1316107,1316304,1316404	1,1,1,1,1,1,1,1,1,1,1,1,1	noH
3836e660e7c64a96	chrEXPLORE	+	1313926,1314109,1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219,1315577,1316107,1316304,1316404,1316462	0,1,1,0,1,0,0,1,1,0,1,1,1,1,1	noH
8266fea9a6434e0b	chrEXPLORE	+	1314109,1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219,1315577	0,0,0,0,0,0,1,0,1,0	H2
65ab8240f8494996	chrEXPLORE	+	1312645,1312925,1313614	0,0,1	noH
26129d423ccd4b6a	chrEXPLORE	+	1314695,1314706,1314836,1314989,1315026,1315103,1315219,1315577	1,0,1,0,1,1,1,1	H2
4a549d0954284fc8	chrEXPLORE	+	1312645,1312925,1313614,1313916,1313926,1314109,1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219,1315577,1316107,1316304,1316404,1316462,1317266	0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0	H2
00c0715ae9724243	chrEXPLORE	+	1313614,1313916,1313926,1314109,1314346,1314695,1314706	0,1,1,1,0,0,0	H2
d4738bc0e9dd472d	chrEXPLORE	+	1313614,1313916,1313926,1314109,1314346,1314695,1314706,1314836,1314989,1315026	1,0,1,0,1,1,0,1,1,0	noH
53995f7e59f841ee	chrEXPLORE	+	1312645,1312925,1313614,1313916,1313926,1314109,1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219,1315577,1316107	0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	noH
